type,skill,job,cv
general,,3,8
general,care,1,3
general,programme,1,2
general,holiday,1,1
general,care certificate,1,1
general,holiday purchase,1,1
general,scheme,1,1
general,caretech prior,1,1
general,induction programme,1,1
general,purchase,1,1
general,additional,1,1
general,check,1,1
general,care certificate standards,1,1
general,purchase scheme,1,1
general,standards,1,1
general,full induction programme,1,1
general,paid,1,1
general,check paid,1,1
general,holiday purchase scheme,1,1
general,certificate standards,1,1
general,additional holiday,1,1
general,lexible additional holiday,1,1
general,lexible additional,1,1
general,dbs check paid,1,1
general,caretech,1,1
general,full,1,1
general,dbs check,1,1
general,prior,1,1
general,lexible,1,1
general,induction,1,1
general,dbs,1,1
general,is,1,1
general,certificate,1,1
general,purchase scheme,1,1
general,seperate,1,0
general,is seperate,1,0
general,randomness,1,0
general,has,1,0
