Job Title | Education | age | sex | Online Edu | Edu Match
Travel agency managers | Degree or equivalent | 56 | Female | Degree or equivalent | 1
Youth and community workers | Higher education | 29 | Female | Degree or equivalent | 0
Registrs & sen admins ed establish | GCE A level or equivalent | 56 | Female | Other qualification | 0
Indust cleaning process occupations | GCSE grades A*-C or equivalent | 20 | Female | Other qualification | 0
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 33 | Female | Other qualification | 0
Stock control clerks | GCE A level or equivalent | 29 | Female | Other qualification | 0
Senior officials in local gov | Degree or equivalent | 32 | Female | Other qualification | 0
Care assistants and home carers | Other qualification | 58 | Female | Other qualification | 1
Prim & nurs eductn teaching profs | Degree or equivalent | 47 | Female | Other qualification | 0
Kitchen and catering assistants | Other qualification | 59 | Female | GCSE grades A*-C or equivalent | 0
Mobile machine drivers & operatives | GCSE grades A*-C or equivalent | 62 | Male | Other qualification | 0
Customer care managers | GCE A level or equivalent | 31 | Male | Degree or equivalent | 0
Storage and warehouse managers | Higher education | 62 | Female | Other qualification | 0
Receptionists | GCSE grades A*-C or equivalent | 75 | Female | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 42 | Female | Other qualification | 0
Business & related assoc profs nec. | Degree or equivalent | 19 | Female | Other qualification | 0
Archivists and curators | Degree or equivalent | 52 | Female | Other qualification | 0
Further educ teaching prfsnals | Degree or equivalent | 68 | Male | Other qualification | 0
School secretaries | GCSE grades A*-C or equivalent | 63 | Female | Other qualification | 0
Chefs, cooks | GCSE grades A*-C or equivalent | 22 | Male | Other qualification | 0
Kitchen and catering assistants | Degree or equivalent | 27 | Female | GCSE grades A*-C or equivalent | 0
Police offcrs (sergeant and below) | Degree or equivalent | 35 | Female | Other qualification | 0
Restaurant and catering managers | Degree or equivalent | 34 | Male | Other qualification | 0
Restaurant and catering managers | GCE A level or equivalent | 27 | Female | Other qualification | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 40 | Female | GCSE grades A*-C or equivalent | 0
Nursery nurses | GCE A level or equivalent | 22 | Female | Other qualification | 0
Construction operatives n.e.c. | Other qualification | 24 | Male | Other qualification | 1
Sales and retail assistants | Higher education | 25 | Female | Other qualification | 0
Mngr anml hsbndry, frst, fish nec. | Degree or equivalent | 29 | Male | Other qualification | 0
Spec needs educ teaching profs | Degree or equivalent | 48 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 48 | Male | Other qualification | 0
Refuse and salvage occupations | GCSE grades A*-C or equivalent | 48 | Male | Other qualification | 0
educal assistants | Higher education | 52 | Female | Degree or equivalent | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 34 | Female | Other qualification | 0
Retail cashiers/check-out operators | Higher education | 23 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 28 | Male | Other qualification | 0
Youth and community workers | Higher education | 45 | Female | Degree or equivalent | 0
Medical practitioners | Degree or equivalent | 36 | Female | Other qualification | 0
Routine inspectors and testers | Degree or equivalent | 40 | Male | Other qualification | 0
Butchers, meat cutters | GCE A level or equivalent | 49 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 28 | Female | Other qualification | 0
Carpenters and joiners | GCE A level or equivalent | 28 | Male | Other qualification | 0
Oth good hndlng & storage occup nec | Degree or equivalent | 54 | Male | Other qualification | 0
Public serv associate professionals | Higher education | 56 | Female | Other qualification | 0
Cleaners, domestics | Degree or equivalent | 62 | Male | Other qualification | 0
General office assistants or clerks | Higher education | 50 | Female | GCSE grades A*-C or equivalent | 0
Registrs & sen admins ed establish | Degree or equivalent | 39 | Male | Other qualification | 0
Personnel & ind relations offs | GCE A level or equivalent | 31 | Male | Other qualification | 0
Cleaners, domestics | Other qualification | 64 | Female | Other qualification | 1
Cleaners, domestics | GCE A level or equivalent | 59 | Male | Other qualification | 0
Higher educ teaching prfsnals | GCSE grades A*-C or equivalent | 32 | Female | Other qualification | 0
Waiters, waitresses | GCE A level or equivalent | 18 | Female | Other qualification | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 17 | Male | GCSE grades A*-C or equivalent | 1
Nursing auxiliaries and assistants | Degree or equivalent | 38 | Female | Other qualification | 0
Laboratory technicians | Degree or equivalent | 39 | Male | GCSE grades A*-C or equivalent | 0
Personnel & ind relations offs | Degree or equivalent | 29 | Male | Other qualification | 0
Nursing auxiliaries and assistants | GCE A level or equivalent | 27 | Female | Other qualification | 0
Software professionals | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Hotel and accommodation managers | Higher education | 49 | Female | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 33 | Male | GCSE grades A*-C or equivalent | 0
educal assistants | GCSE grades A*-C or equivalent | 36 | Female | Degree or equivalent | 0
Shelf fillers | GCSE grades A*-C or equivalent | 60 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 50 | Female | Other qualification | 0
Vocatn & indust trainrs & instrctrs | Higher education | 58 | Male | Other qualification | 0
Further educ teaching prfsnals | Degree or equivalent | 50 | Female | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 25 | Male | Other qualification | 0
Retail cashiers/check-out operators | GCE A level or equivalent | 18 | Male | Other qualification | 0
Registrs & sen admins ed establish | Degree or equivalent | 39 | Male | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 40 | Female | Other qualification | 0
Laboratory technicians | Degree or equivalent | 50 | Male | GCSE grades A*-C or equivalent | 0
Legal professionals n.e.c. | Degree or equivalent | 54 | Female | Other qualification | 0
Waiters, waitresses | Other qualification | 16 | Female | Other qualification | 1
Waiters, waitresses | Other qualification | 16 | Female | Other qualification | 1
Care assistants and home carers | GCSE grades A*-C or equivalent | 32 | Female | Other qualification | 0
Carpenters and joiners | Degree or equivalent | 43 | Male | Other qualification | 0
Fork-lift truck drivers | Other qualification | 48 | Male | Other qualification | 1
Care assistants and home carers | Higher education | 52 | Female | Other qualification | 0
Public serv associate professionals | Degree or equivalent | 49 | Male | Other qualification | 0
Teaching professionals n.e.c. | Higher education | 45 | Female | Other qualification | 0
Officers non-gov organisations | Degree or equivalent | 70 | Female | Other qualification | 0
Financial managers & chartered secs | GCE A level or equivalent | 34 | Male | Degree or equivalent | 0
Prim & nurs eductn teaching profs | GCE A level or equivalent | 33 | Female | Other qualification | 0
Chartrd surveyors (not qntity surv) | GCSE grades A*-C or equivalent | 30 | Male | Other qualification | 0
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 77 | Female | Other qualification | 0
Shelf fillers | Higher education | 67 | Male | Other qualification | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 55 | Female | Other qualification | 0
Further educ teaching prfsnals | Degree or equivalent | 36 | Female | Other qualification | 0
Nurses | Higher education | 63 | Female | Degree or equivalent | 0
Occupational therapists | Degree or equivalent | 52 | Female | Degree or equivalent | 1
Design and development engineers | Degree or equivalent | 45 | Male | Degree or equivalent | 1
Medical practitioners | Degree or equivalent | 46 | Female | Other qualification | 0
Chefs, cooks | Higher education | 41 | Female | Other qualification | 0
Restaurant and catering managers | Degree or equivalent | 42 | Male | Other qualification | 0
Care assistants and home carers | Degree or equivalent | 31 | Female | Other qualification | 0
