Job Title | Survey | Online
Travel agency managers | Degree or equivalent | Degree or equivalent
Youth and community workers | Higher education | Degree or equivalent
Registrs  sen admins ed establish | GCE A level or equivalent | Other qualification
Indust cleaning process occupations | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Stock control clerks | GCE A level or equivalent | Other qualification
Senior officials in local gov | Degree or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Mobile machine drivers  operatives | GCSE grades A*-C or equivalent | Other qualification
Customer care managers | GCE A level or equivalent | Degree or equivalent
Storage and warehouse managers | Higher education | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Business  related assoc profs nec | Degree or equivalent | Other qualification
Archivists and curators | Degree or equivalent | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
School secretaries | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Restaurant and catering managers | Degree or equivalent | Other qualification
Restaurant and catering managers | GCE A level or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Nursery nurses | GCE A level or equivalent | Other qualification
Construction operatives nec | Other qualification | Other qualification
Sales and retail assistants | Higher education | Other qualification
Mngr anml hsbndry frst fish nec | Degree or equivalent | Other qualification
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
Refuse and salvage occupations | GCSE grades A*-C or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Retail cashierscheckout operators | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Youth and community workers | Higher education | Degree or equivalent
Medical practitioners | Degree or equivalent | Other qualification
Routine inspectors and testers | Degree or equivalent | Other qualification
Butchers meat cutters | GCE A level or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Carpenters and joiners | GCE A level or equivalent | Other qualification
Oth good hndlng  storage occup nec | Degree or equivalent | Other qualification
Public serv associate professionals | Higher education | Other qualification
Cleaners domestics | Degree or equivalent | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Registrs  sen admins ed establish | Degree or equivalent | Other qualification
Personnel  ind relations offs | GCE A level or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
Higher educ teaching prfsnals | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | Degree or equivalent | Other qualification
Laboratory technicians | Degree or equivalent | GCSE grades A*-C or equivalent
Personnel  ind relations offs | Degree or equivalent | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Hotel and accommodation managers | Higher education | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Shelf fillers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Vocatn  indust trainrs  instrctrs | Higher education | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Registrs  sen admins ed establish | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Laboratory technicians | Degree or equivalent | GCSE grades A*-C or equivalent
Legal professionals nec | Degree or equivalent | Other qualification
Waiters waitresses | Other qualification | Other qualification
Waiters waitresses | Other qualification | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Carpenters and joiners | Degree or equivalent | Other qualification
Forklift truck drivers | Other qualification | Other qualification
Care assistants and home carers | Higher education | Other qualification
Public serv associate professionals | Degree or equivalent | Other qualification
Teaching professionals nec | Higher education | Other qualification
Officers nongov organisations | Degree or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Prim  nurs eductn teaching profs | GCE A level or equivalent | Other qualification
Chartrd surveyors not qntity surv | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Shelf fillers | Higher education | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Occupational therapists | Degree or equivalent | Degree or equivalent
Design and development engineers | Degree or equivalent | Degree or equivalent
Medical practitioners | Degree or equivalent | Other qualification
Chefs cooks | Higher education | Other qualification
Restaurant and catering managers | Degree or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
educ officersschool inspectrs | Degree or equivalent | Other qualification
Gardeners and groundswomen | Other qualification | Other qualification
Public serv associate professionals | GCSE grades A*-C or equivalent | Other qualification
